region,num_economactivepopulation_all,employed_num_all,unemployed_num_all,eactivity_lvl,employment_lvl,unemployment_lvl,dis_unagegroup_to20,dis_unagegroup_20-29,dis_unagegroup_30-39,dis_unagegroup_40-49,dis_unagegroup_50-59,dis_unagegroup_60older,dis_emagegroup_to20,dis_emagegroup_20-29,dis_emagegroup_30-39,dis_emagegroup_40-49,dis_emagegroup_50-59,dis_emagegroup_60older,num_unagegroup_to20,num_unagegroup_20-29,num_unagegroup_30-39,num_unagegroup_40-49,num_unagegroup_50-59,num_unagegroup_60older,num_emagegroup_to20,num_emagegroup_20-29,num_emagegroup_30-39,num_emagegroup_40-49,num_emagegroup_50-59,num_emagegroup_60older,year
Ростовская область,"2031,8","1770,2","261,5","61,2","53,3","12,9","7,4","26,5","25,7","28,5","7,8","4,1",2,"22,1","26,3","29,6","15,1","4,9","19,4","69,3","67,2","74,5","20,4","10,7","35,4","391,2","465,6",524,"267,3","86,7",2001
Приволжский федеральный округ,"15651,7","14325,5","1326,3","64,7","59,2","8,5","7,5","32,1","25,6","23,4","9,4","1,9","2,6","22,3","26,8","30,7","13,9","3,8","99,5","425,7","339,5","310,4","124,7","25,2","372,5","3194,6","3839,2","4397,9","1991,2","544,4",2001
Республика Башкортостан,"1892,9","1690,9",202,"62,4","55,7","10,7","10,7",29,"32,1","17,4","8,2","2,7","2,5","22,3","28,1","31,5","11,9","3,7","21,6","58,6","64,8","35,1","16,6","5,5","42,3","377,1","475,1","532,6","201,2","62,6",2001
Республика Марий Эл,"372,4","337,3","35,1","65,6","59,4","9,4","10,3","39,7","21,8","23,5","3,5","1,2","2,4","21,1","27,8","32,1","13,7","2,9","3,6","13,9","7,7","8,2","1,2","0,4","8,1","71,2","93,8","108,3","46,2","9,8",2001
Республика Мордовия,"432,1","386,9","45,2","61,9","55,4","10,5","2,7","36,8","30,3","21,9","8,3",,"1,7","20,4","28,3","33,3","13,2","3,2","1,2","16,6","13,7","9,9","3,8",0,"6,6","78,9","109,5","128,8","51,1","12,4",2001
Республика Татарстан,"1822,7","1708,7",114,"64,6","60,6","6,3","7,4","34,3","21,1","27,7",9,"0,5","2,3","22,3","28,3","30,1","13,3","3,7","8,4","39,1","24,1","31,6","10,3","0,6","39,3",381,"483,6","514,3","227,3","63,2",2001
Удмуртская Республика,"809,3","748,7","60,6","65,5","60,6","7,5","6,3","33,3","25,6","26,7","7,7","0,4","2,8","25,1","26,6","31,6",12,"1,9","3,8","20,2","15,5","16,2","4,7","0,2",21,"187,9","199,2","236,6","89,8","14,2",2001
Чувашская Республика,"667,6","603,6","63,9","65,9","59,6","9,6","3,3","34,7","26,9","25,6","7,6","1,8","2,9","22,3","28,1",29,"13,6",4,"2,1","22,2","17,2","16,4","4,9","1,2","17,5","134,6","169,6",175,"82,1","24,1",2001
Кировская область,"847,7","782,8","64,9","69,8","64,5","7,7","11,7","21,8","30,3","22,6","10,2","3,4","4,2","22,3","23,6","31,4","13,8","4,7","7,6","14,1","19,7","14,7","6,6","2,2","32,9","174,6","184,7","245,8",108,"36,8",2001
Нижегородская область,"1840,5","1688,7","151,8","65,7","60,3","8,3",8,"31,5","23,7","24,7","9,6","2,5","2,4","22,6","25,4","31,3","14,4","3,8","12,1","47,8",36,"37,5","14,6","3,8","40,5","381,6","428,9","528,6","243,2","64,2",2001
Оренбургская область,"1030,8","943,4","87,4",62,"56,7","8,5","7,4","38,2","25,1",19,"7,7","2,6","3,2","22,3",27,"30,4","12,6","4,5","6,5","33,4","21,9","16,6","6,7","2,3","30,2","210,4","254,7","286,8","118,9","42,5",2001
